timestamp,frame,top_dx_cm,top_dy_cm,bot_dx_cm,bot_dy_cm,tilt_dx_cm,tilt_dy_cm,tilt_deg,tilt_total_cm,top_pts,bot_pts,alert_level
2026-04-21T09:23:53.371,16,0.223,-0.141,1.137,-0.258,-0.914,0.117,0.0262,0.922,148,171,OK
2026-04-21T09:23:53.517,17,0.222,-0.122,1.145,0.064,-0.923,-0.186,0.0264,0.942,147,171,OK
2026-04-21T09:23:53.665,18,0.17,-0.088,0.892,0.228,-0.722,-0.316,0.0207,0.788,147,170,OK
2026-04-21T09:23:53.802,19,0.158,-0.112,0.68,0.289,-0.522,-0.401,0.0149,0.658,147,170,OK
2026-04-21T09:23:53.941,20,0.025,-0.115,0.201,0.263,-0.176,-0.378,0.005,0.417,147,170,OK
2026-04-21T09:23:54.087,21,-0.005,-0.034,-0.14,0.221,0.135,-0.255,0.0039,0.288,147,170,OK
2026-04-21T09:23:54.246,22,-0.048,-0.171,-0.577,-0.002,0.529,-0.169,0.0152,0.555,147,170,OK
2026-04-21T09:23:54.399,23,-0.033,-0.172,-0.807,-0.17,0.774,-0.002,0.0222,0.774,147,170,OK
2026-04-21T09:23:54.562,24,-0.102,-0.122,-1.031,-0.246,0.93,0.125,0.0266,0.938,147,170,OK
2026-04-21T09:23:54.714,25,-0.104,-0.079,-1.373,-0.443,1.269,0.364,0.0364,1.32,135,168,OK
2026-04-21T09:23:54.865,26,-0.139,-0.088,-1.375,-0.589,1.235,0.501,0.0354,1.333,121,166,OK
2026-04-21T09:23:55.007,27,-0.236,-0.011,-1.407,-0.391,1.172,0.381,0.0336,1.232,110,165,OK
2026-04-21T09:23:55.146,28,-0.168,0.168,-1.328,-0.082,1.16,0.25,0.0332,1.186,104,158,OK
2026-04-21T09:23:55.289,29,-0.132,0.184,-1.193,0.057,1.061,0.127,0.0304,1.069,101,156,OK
2026-04-21T09:23:55.435,30,-0.084,0.16,-1.003,0.126,0.92,0.034,0.0263,0.92,180,155,OK
2026-04-21T09:23:55.588,31,-0.052,0.126,-0.796,0.29,0.745,-0.164,0.0213,0.762,157,155,OK
2026-04-21T09:23:55.733,32,-0.069,0.102,-0.635,0.411,0.566,-0.309,0.0162,0.645,156,155,OK
2026-04-21T09:23:55.883,33,-0.075,0.11,-0.46,0.397,0.385,-0.287,0.011,0.48,149,155,OK
2026-04-21T09:23:56.025,34,-0.011,0.156,-0.102,0.435,0.091,-0.279,0.0026,0.293,149,155,OK
2026-04-21T09:23:56.169,35,0.013,0.123,0.029,0.364,-0.017,-0.241,0.0005,0.242,147,155,OK
2026-04-21T09:23:56.342,36,-0.014,0.136,0.03,0.396,-0.044,-0.26,0.0013,0.263,145,155,OK
2026-04-21T09:23:56.546,37,-0.072,0.187,-0.023,0.358,-0.049,-0.171,0.0014,0.178,143,155,OK
2026-04-21T09:23:56.773,38,-0.116,0.107,-0.052,0.19,-0.064,-0.083,0.0018,0.104,141,155,OK
2026-04-21T09:23:57.067,39,-0.235,0.107,0.084,0.407,-0.32,-0.3,0.0092,0.438,134,155,OK
2026-04-21T09:23:57.325,40,-0.15,0.147,0.056,0.413,-0.206,-0.266,0.0059,0.336,129,154,OK
2026-04-21T09:23:57.521,41,-0.009,0.234,0.192,0.46,-0.2,-0.226,0.0057,0.302,127,154,OK
2026-04-21T09:23:57.715,42,-0.032,0.25,0.321,0.482,-0.353,-0.232,0.0101,0.422,123,154,OK
2026-04-21T09:23:57.897,43,0.099,0.331,0.352,0.374,-0.253,-0.042,0.0072,0.257,120,152,OK
2026-04-21T09:23:58.075,44,0.17,0.262,0.476,0.492,-0.306,-0.23,0.0088,0.383,111,151,OK
2026-04-21T09:23:58.249,45,0.123,0.155,0.312,0.392,-0.189,-0.238,0.0054,0.304,107,145,OK
2026-04-21T09:23:58.407,46,0.133,0.09,0.256,0.299,-0.123,-0.209,0.0035,0.243,104,144,OK
2026-04-21T09:23:58.560,47,0.099,0.046,0.166,0.175,-0.067,-0.129,0.0019,0.146,102,144,OK
2026-04-21T09:23:58.716,48,0.209,-0.061,0.295,-0.007,-0.086,-0.054,0.0025,0.102,102,142,OK
2026-04-21T09:23:58.870,49,0.031,-0.101,0.221,-0.107,-0.189,0.006,0.0054,0.19,100,141,OK
2026-04-21T09:23:59.032,50,0.019,-0.054,0.303,-0.109,-0.285,0.055,0.0082,0.29,100,141,OK
2026-04-21T09:23:59.200,51,0.032,-0.048,0.432,-0.113,-0.401,0.065,0.0115,0.406,170,141,OK
2026-04-21T09:23:59.365,52,0.068,-0.034,0.699,-0.093,-0.631,0.059,0.0181,0.634,162,140,OK
2026-04-21T09:23:59.521,53,0.048,-0.138,0.762,-0.169,-0.714,0.031,0.0205,0.715,155,140,OK
2026-04-21T09:23:59.678,54,0.087,-0.021,0.73,-0.077,-0.644,0.057,0.0184,0.646,153,140,OK
2026-04-21T09:23:59.826,55,0.067,-0.003,0.538,-0.028,-0.47,0.025,0.0135,0.471,152,140,OK
2026-04-21T09:23:59.972,56,0.03,0.011,0.586,0.0,-0.557,0.011,0.0159,0.557,148,140,OK
2026-04-21T09:24:00.135,57,0.031,-0.047,0.935,-0.16,-0.904,0.113,0.0259,0.911,147,139,OK
2026-04-21T09:24:00.284,58,0.023,-0.016,1.395,-0.111,-1.372,0.096,0.0393,1.375,147,139,OK
2026-04-21T09:24:00.440,59,0.006,-0.052,1.673,-0.117,-1.667,0.065,0.0478,1.669,147,139,OK
2026-04-21T09:24:00.594,60,0.075,-0.036,1.67,-0.183,-1.595,0.147,0.0457,1.602,147,138,OK
2026-04-21T09:24:00.747,61,0.133,-0.017,1.504,-0.216,-1.37,0.199,0.0393,1.385,141,138,OK
2026-04-21T09:24:00.887,62,0.024,0.07,1.153,-0.014,-1.13,0.084,0.0324,1.133,136,134,OK
2026-04-21T09:24:01.030,63,0.012,0.186,0.849,0.152,-0.837,0.034,0.024,0.838,131,131,OK
2026-04-21T09:24:01.176,64,0.046,0.288,0.629,0.193,-0.583,0.095,0.0167,0.591,129,131,OK
2026-04-21T09:24:01.327,65,0.055,0.154,0.609,0.333,-0.555,-0.179,0.0159,0.583,129,131,OK
2026-04-21T09:24:01.502,66,0.042,0.142,1.048,0.336,-1.007,-0.194,0.0288,1.025,129,131,OK
