timestamp,frame,top_dx_cm,top_dy_cm,bot_dx_cm,bot_dy_cm,tilt_dx_cm,tilt_dy_cm,tilt_deg,tilt_total_cm,top_pts,bot_pts,alert_level
2026-04-21T09:23:51.057,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,OK
2026-04-21T09:23:51.235,2,-1.537,0.113,-12.725,-9.289,11.188,9.402,0.3205,14.614,167,199,DANGER
2026-04-21T09:23:51.391,3,-1.689,-0.329,-11.119,-8.949,9.429,8.62,0.2701,12.775,165,197,DANGER
2026-04-21T09:23:51.538,4,-2.003,-0.453,-8.432,-6.285,6.429,5.832,0.1842,8.68,162,193,DANGER
2026-04-21T09:23:51.712,5,-1.121,-0.424,-6.182,-5.219,5.061,4.795,0.145,6.972,160,190,DANGER
2026-04-21T09:23:51.876,6,-1.172,0.018,-5.11,-4.446,3.938,4.464,0.1128,5.952,160,185,DANGER
2026-04-21T09:23:52.028,7,-1.018,-0.114,-3.792,-3.879,2.774,3.765,0.0795,4.677,158,184,DANGER
2026-04-21T09:23:52.181,8,-0.418,0.109,-2.313,-2.769,1.895,2.877,0.0543,3.445,158,181,DANGER
2026-04-21T09:23:52.338,9,-0.435,-0.108,-1.692,-1.794,1.256,1.686,0.036,2.102,153,174,WARN
2026-04-21T09:23:52.490,10,-0.697,-0.247,-1.308,-2.063,0.61,1.815,0.0175,1.915,151,171,OK
2026-04-21T09:23:52.635,11,-0.629,-0.179,-0.959,-2.422,0.33,2.242,0.0094,2.267,151,171,WARN
2026-04-21T09:23:52.787,12,-0.365,-0.338,-0.527,-2.331,0.162,1.993,0.0046,2.0,150,171,OK
2026-04-21T09:23:52.930,13,-0.145,-0.253,0.138,-1.83,-0.282,1.577,0.0081,1.602,149,171,OK
2026-04-21T09:23:53.069,14,0.018,-0.25,0.814,-1.417,-0.796,1.166,0.0228,1.412,149,171,OK
2026-04-21T09:23:53.211,15,0.19,-0.17,1.017,-0.726,-0.828,0.556,0.0237,0.997,148,171,OK
